                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                  1.163,                 0.7322,                 1.0982,                0.90642,                0.82812,                0.90663,                 0.5224,                 1.4833,                0.83102,                 1.4332,               0.007525,               0.007525,               0.007525
                     52,                 1.1613,                0.71917,                 1.0983,                0.85414,                0.85938,                0.87978,                0.48086,                 1.5474,                0.83512,                 1.4708,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.1739,                0.73545,                 1.0983,                0.86414,                0.84375,                0.89705,                 0.4844,                 1.5071,                0.83338,                 1.4099,               0.007426,               0.007426,               0.007426
                     54,                 1.1699,                0.72755,                 1.1058,                0.88953,                0.88073,                0.90748,                0.47365,                 1.5417,                0.85536,                 1.4123,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1573,                0.74102,                 1.0836,                0.87675,                 0.8125,                 0.8643,                0.44708,                 1.5293,                0.86908,                 1.4226,               0.007327,               0.007327,               0.007327
                     56,                  1.128,                0.69309,                 1.0806,                0.83025,                0.82812,                 0.8293,                0.45769,                 1.4955,                0.88662,                 1.4026,              0.0072775,              0.0072775,              0.0072775
                     57,                  1.168,                0.71497,                 1.0935,                0.79091,                0.89062,                0.88368,                0.51217,                 1.4306,                0.78953,                 1.3703,               0.007228,               0.007228,               0.007228
                     58,                 1.1345,                0.71675,                  1.095,                0.83137,                0.85938,                0.86522,                0.46886,                 1.5346,                0.85607,                 1.4585,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.1484,                0.72928,                 1.0909,                0.77275,                0.76562,                0.78531,                0.46607,                 1.4594,                 0.9095,                 1.3912,               0.007129,               0.007129,               0.007129
                     60,                 1.1634,                0.71131,                 1.0774,                0.82706,                0.76562,                0.83186,                0.48741,                 1.4664,                 0.8407,                   1.37,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.1345,                0.70426,                  1.078,                0.81355,                0.78125,                 0.8382,                0.47023,                 1.5733,                0.86582,                 1.4506,                0.00703,                0.00703,                0.00703
                     62,                  1.139,                0.70031,                 1.0794,                0.87043,                0.73478,                0.83528,                0.44705,                 1.6041,                0.95589,                 1.4486,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.1562,                0.69681,                  1.089,                0.84139,                0.82812,                0.84582,                0.45005,                 1.5965,                0.92872,                 1.4306,               0.006931,               0.006931,               0.006931
                     64,                 1.0985,                0.67597,                 1.0742,                0.86279,                0.84375,                0.86701,                0.50593,                 1.4853,                0.80544,                 1.3857,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.0979,                0.67105,                 1.0725,                0.86764,                0.85938,                0.87152,                0.48945,                 1.5429,                0.82072,                 1.3901,               0.006832,               0.006832,               0.006832
                     66,                 1.0979,                0.68147,                 1.0484,                0.85421,                 0.8125,                0.84854,                0.48132,                 1.5581,                0.81811,                 1.4318,              0.0067825,              0.0067825,              0.0067825
